Timer,Value
"0","0"
"0.00427273","0"
"0.00854545","0"
"0.01281818","0"
"0.01709091","0"
"0.02136364","0"
"0.02563636","0"
"0.02990909","0"
"0.03418182","0"
"0.03845455","0"
"0.04272727","0"
"0.047","0"
"0.05127273","0"
"0.05554545","0"
"0.05981818","0"
"0.06409091","0"
"0.06836364","0"
"0.07263636","0"
"0.07690909","0"
"0.08118182","0"
"0.08545455","0"
"0.08972727","0"
"0.094","0"
"0.104","0"
"0.108","0"
"0.112","0"
"0.116","0"
"0.12","0"
"0.124","0"
"0.128","0"
"0.132","0"
"0.136","0"
"0.14","0"
"0.144","0"
"0.148","0"
"0.152","0"
"0.156","0"
"0.16","0"
"0.164","0"
"0.168","0"
"0.172","0"
"0.176","0"
"0.18","0"
"0.184","0"
"0.188","0"
"0.192","0"
"0.196","0"
"0.20391667","0"
"0.20783333","0"
"0.21175","0"
"0.21566667","0"
"0.21958333","0"
"0.2235","0"
"0.22741667","0"
"0.23133333","0"
"0.23525","0"
"0.23916667","0"
"0.24308333","0"
"0.247","0"
"0.25091667","0"
"0.25483333","0"
"0.25875","0"
"0.26266667","0"
"0.26658333","0"
"0.2705","0"
"0.27441667","0"
"0.27833333","0"
"0.28225","0"
"0.28616667","0"
"0.29008333","0"
"0.294","0"
"0.30808333","0"
"0.31616667","0"
"0.32425","0"
"0.33233333","0"
"0.34041667","0"
"0.3485","0"
"0.35658333","0"
"0.36466667","0"
"0.37275","0"
"0.38083333","0"
"0.38891667","0"
"0.397","0"
"0.404","0"
"0.408","0"
"0.412","0"
"0.416","0"
"0.42","0"
"0.424","0"
"0.428","0"
"0.432","0"
"0.436","0"
"0.44","0"
"0.444","0"
"0.448","0"
"0.452","0"
"0.456","0"
"0.46","0"
"0.464","0"
"0.468","0"
"0.472","0"
"0.476","0"
"0.48","0"
"0.484","0"
"0.488","0"
"0.492","0"
"0.496","0"
"0.504","0"
"0.508","0"
"0.512","0"
"0.516","0"
"0.52","0"
"0.524","0"
"0.528","0"
"0.532","0"
"0.536","0"
"0.54","0"
"0.544","0"
"0.548","0"
"0.552","0"
"0.556","0"
"0.56","0"
"0.564","0"
"0.568","0"
"0.572","0"
"0.576","0"
"0.58","0"
"0.584","0"
"0.588","0"
"0.592","0"
"0.596","0"
"0.60466667","0"
"0.60933333","0"
"0.614","0"
"0.61866667","0"
"0.62333333","0"
"0.628","0"
"0.63266667","0"
"0.63733333","0"
"0.642","0"
"0.64666667","0"
"0.65133333","0"
"0.656","0"
"0.66066667","0"
"0.66533333","0"
"0.67","0"
"0.67466667","0"
"0.67933333","0"
"0.684","0"
"0.68866667","0"
"0.69333333","0"
"0.698","0"
"0.7","0"
"0.7049","0"
"0.7098","0"
"0.7147","0"
"0.7196","0"
"0.7245","0"
"0.7294","0"
"0.7343","0"
"0.7392","0"
"0.7441","0"
"0.749","0"
"0.7539","0"
"0.7588","0"
"0.7637","0"
"0.7686","0"
"0.7735","0"
"0.7784","0"
"0.7833","0"
"0.7882","0"
"0.7931","0"
"0.798","0"
"0.8048","0"
"0.8096","0"
"0.8144","0"
"0.8192","0"
"0.824","0"
"0.8288","0"
"0.8336","0"
"0.8384","0"
"0.8432","0"
"0.848","0"
"0.8528","0"
"0.8576","0"
"0.8624","0"
"0.8672","0"
"0.872","0"
"0.8768","0"
"0.8816","0"
"0.8864","0"
"0.8912","0"
"0.896","0"
"0.90495","0"
"0.9099","0"
"0.91485","0"
"0.9198","0"
"0.92475","0"
"0.9297","0"
"0.93465","0"
"0.9396","0"
"0.94455","0"
"0.9495","0"
"0.95445","0"
"0.9594","0"
"0.96435","0"
"0.9693","0"
"0.97425","0"
"0.9792","0"
"0.98415","0"
"0.9891","0"
"0.99405","0"
"0.999","0"
"1.00678571","0"
"1.01357143","0"
"1.02035714","0"
"1.02714286","0"
"1.03392857","0"
"1.04071429","0"
"1.0475","0"
"1.05428571","0"
"1.06107143","0"
"1.06785714","0"
"1.07464286","0"
"1.08142857","0"
"1.08821429","0"
"1.095","0"
"1.10511111","0"
"1.11022222","0"
"1.11533333","0"
"1.12044444","0"
"1.12555556","0"
"1.13066667","0"
"1.13577778","0"
"1.14088889","0"
"1.146","0"
"1.15111111","0"
"1.15622222","0"
"1.16133333","0"
"1.16644444","0"
"1.17155556","0"
"1.17666667","0"
"1.18177778","0"
"1.18688889","0"
"1.192","0"
"1.2049","0"
"1.2098","0"
"1.2147","0"
"1.2196","0"
"1.2245","0"
"1.2294","0"
"1.2343","0"
"1.2392","0"
"1.2441","0"
"1.249","0"
"1.2539","0"
"1.2588","0"
"1.2637","0"
"1.2686","0"
"1.2735","0"
"1.2784","0"
"1.2833","0"
"1.2882","0"
"1.2931","0"
"1.298","0"
"1.30380769","0"
"1.30761538","0"
"1.31142308","0"
"1.31523077","0"
"1.31903846","0"
"1.32284615","0"
"1.32665385","0"
"1.33046154","0"
"1.33426923","0"
"1.33807692","0"
"1.34188462","0"
"1.34569231","0"
"1.3495","0"
"1.35330769","0"
"1.35711538","0"
"1.36092308","0"
"1.36473077","0"
"1.36853846","0"
"1.37234615","0"
"1.37615385","0"
"1.37996154","0"
"1.38376923","0"
"1.38757692","0"
"1.39138462","0"
"1.39519231","0"
"1.399","0"
"1.4045","0"
"1.409","0"
"1.4135","0"
"1.418","0"
"1.4225","0"
"1.427","0"
"1.4315","0"
"1.436","0"
"1.4405","0"
"1.445","0"
"1.4495","0"
"1.454","0"
"1.4585","0"
"1.463","0"
"1.4675","0"
"1.472","0"
"1.4765","0"
"1.481","0"
"1.4855","0"
"1.49","0"
"1.4945","0"
"1.499","0"
"1.50485","0"
"1.5097","0"
"1.51455","0"
"1.5194","0"
"1.52425","0"
"1.5291","0"
"1.53395","0"
"1.5388","0"
"1.54365","0"
"1.5485","0"
"1.55335","0"
"1.5582","0"
"1.56305","0"
"1.5679","0"
"1.57275","0"
"1.5776","0"
"1.58245","0"
"1.5873","0"
"1.59215","0"
"1.597","0"
"1.609","0"
"1.618","0"
"1.627","0"
"1.636","0"
"1.645","0"
"1.654","0"
"1.663","0"
"1.672","0"
"1.681","0"
"1.69","0"
"1.699","0"
"1.7","0"
"1.705","0"
"1.71","0"
"1.715","0"
"1.72","0"
"1.725","0"
"1.73","0"
"1.735","0"
"1.74","0"
"1.745","0"
"1.75","0"
"1.755","0"
"1.76","0"
"1.765","0"
"1.77","0"
"1.775","0"
"1.78","0"
"1.785","0"
"1.79","0"
"1.8","0"
"1.8","0"
"1.80544444","0"
"1.81088889","0"
"1.81633333","0"
"1.82177778","0"
"1.82722222","0"
"1.83266667","0"
"1.83811111","0"
"1.84355556","0"
"1.849","0"
"1.85444444","0"
"1.85988889","0"
"1.86533333","0"
"1.87077778","0"
"1.87622222","0"
"1.88166667","0"
"1.88711111","0"
"1.89255556","0"
"1.898","0"
"1.9049","0"
"1.9098","0"
"1.9147","0"
"1.9196","0"
"1.9245","0"
"1.9294","0"
"1.9343","0"
"1.9392","0"
"1.9441","0"
"1.949","0"
"1.9539","0"
"1.9588","0"
"1.9637","0"
"1.9686","0"
"1.9735","0"
"1.9784","0"
"1.9833","0"
"1.9882","0"
"1.9931","0"
"1.998","0"
"2.00505556","0"
"2.01011111","0"
"2.01516667","0"
"2.02022222","0"
"2.02527778","0"
"2.03033333","0"
"2.03538889","0"
"2.04044444","0"
"2.0455","0"
"2.05055556","0"
"2.05561111","0"
"2.06066667","0"
"2.06572222","0"
"2.07077778","0"
"2.07583333","0"
"2.08088889","0"
"2.08594444","0"
"2.091","0"
"2.1","0"
"2.10404348","0"
"2.10808696","0"
"2.11213043","0"
"2.11617391","0"
"2.12021739","0"
"2.12426087","0"
"2.12830435","0"
"2.13234783","0"
"2.1363913","0"
"2.14043478","0"
"2.14447826","0"
"2.14852174","0"
"2.15256522","0"
"2.1566087","0"
"2.16065217","0"
"2.16469565","0"
"2.16873913","0"
"2.17278261","0"
"2.17682609","0"
"2.18086957","0"
"2.18491304","0"
"2.18895652","0"
"2.193","0"
"2.20376923","0"
"2.20753846","0"
"2.21130769","0"
"2.21507692","0"
"2.21884615","0"
"2.22261538","0"
"2.22638462","0"
"2.23015385","0"
"2.23392308","0"
"2.23769231","0"
"2.24146154","0"
"2.24523077","0"
"2.249","0"
"2.25276923","0"
"2.25653846","0"
"2.26030769","0"
"2.26407692","0"
"2.26784615","0"
"2.27161538","0"
"2.27538462","0"
"2.27915385","0"
"2.28292308","0"
"2.28669231","0"
"2.29046154","0"
"2.29423077","0"
"2.298","0"
"2.30465","0"
"2.3093","0"
"2.31395","0"
"2.3186","0"
"2.32325","0"
"2.3279","0"
"2.33255","0"
"2.3372","0"
"2.34185","0"
"2.3465","0"
"2.35115","0"
"2.3558","0"
"2.36045","0"
"2.3651","0"
"2.36975","0"
"2.3744","0"
"2.37905","0"
"2.3837","0"
"2.38835","0"
"2.393","0"
"2.40465","0"
"2.4093","0"
"2.41395","0"
"2.4186","0"
"2.42325","0"
"2.4279","0"
"2.43255","0"
"2.4372","0"
"2.44185","-1.36193466195115E-06"
"2.4465","-5.50076782905409E-06"
"2.45115","-1.25225578638096E-05"
"2.4558","-2.24803339474663E-05"
"2.46045","-3.53740960800249E-05"
"2.4651","-5.13629318052368E-05"
"2.46975","-7.07650162105991E-05"
"2.4744","-9.35273201148655E-05"
"2.47905","-0.000119225610068032"
"2.4837","-0.000147700798526349"
"2.48835","-0.000179058943852322"
"2.493","-0.000213406104408444"
"2.50477778","-0.000314353148099591"
"2.50955556","-0.000361005542259196"
"2.51433333","-0.000410813374947349"
"2.51911111","-0.000463776854662294"
"2.52388889","-0.000520007847725017"
"2.52866667","-0.000579562337798698"
"2.53344444","-0.000642440189800244"
"2.53822222","-0.000708585683276508"
"2.543","-0.000777886722774168"
"2.54777778","-0.000850399291956413"
"2.55255556","-0.000926347325475991"
"2.55733333","-0.00100545073655923"
"2.56211111","-0.00108692608505256"
"2.56688889","-0.00117122107758815"
"2.57166667","-0.00126001522406167"
"2.57644444","-0.00135336430880742"
"2.58122222","-0.00144970118002033"
"2.586","-0.00154863376062275"
"2.60511111","-0.00198050996185904"
